year,Caucasus & Central Asia,East Asia,Eastern Europe,Latin America & the Caribbean,Middle East & North Africa,North America,Oceania,South Asia,Sub-Saharan Africa,Western Europe
2008,9.378,9.585,9.55904761904762,9.0012,4.866923076923077,9.88,9.345,6.6375,5.4711428571428575,9.815555555555555
2009,9.378,9.585,9.55904761904762,9.0012,4.866923076923077,9.88,9.345,6.6375,5.4711428571428575,9.815555555555555
2010,9.378,9.585,9.55904761904762,9.0012,4.866923076923077,9.88,9.345,6.6375,5.4711428571428575,9.815555555555555
2011,8.878,9.585,9.459999999999999,9.0136,4.153846153846154,9.88,8.72,6.408333333333334,5.508571428571429,9.815555555555555
2012,8.878,9.585,9.459999999999999,9.0136,4.153846153846154,9.88,8.72,6.408333333333334,5.508571428571429,9.815555555555555
2013,9.002,9.481666666666667,9.316666666666666,8.618,3.913846153846154,10.0,8.75,5.783333333333334,5.768857142857143,9.827777777777778
2014,9.002,9.481666666666667,9.376190476190477,8.618,3.913846153846154,10.0,8.75,5.8875,5.840285714285714,9.827777777777778
2015,9.002,9.481666666666667,9.376190476190477,8.618,3.913846153846154,10.0,8.75,5.8875,5.840285714285714,9.827777777777778
2016,9.002,9.481666666666667,9.376190476190477,8.668000000000001,3.913846153846154,10.0,8.75,5.8875,5.768857142857143,9.827777777777778
2017,9.252,9.69,9.436190476190475,8.9768,3.8246153846153845,10.0,8.9075,6.0441666666666665,6.065428571428571,9.793333333333333
2018,9.252,9.69,9.436190476190475,9.026800000000001,3.823846153846154,10.0,8.9075,6.0441666666666665,6.136,9.793333333333333
2019,9.252,9.69,9.436190476190475,9.026800000000001,3.823846153846154,10.0,8.9075,6.0441666666666665,6.206285714285714,9.793333333333333
