year,Caucasus & Central Asia,East Asia,Eastern Europe,Latin America & the Caribbean,Middle East & North Africa,North America,Oceania,South Asia,Sub-Saharan Africa,Western Europe
2008,4.618,6.445,5.916666666666666,4.876,5.17076923076923,7.225,5.9775,4.860000000000001,4.281142857142857,7.831666666666667
2009,4.562,6.484999999999999,5.924761904761905,4.8351999999999995,5.17076923076923,7.225,5.904999999999999,4.861666666666667,4.297142857142858,7.805555555555555
2010,4.554,6.503333333333333,5.924761904761905,4.8388,5.1692307692307695,7.225,5.8675,4.859166666666668,4.290857142857145,7.8033333333333355
2011,4.57,6.510000000000001,5.913809523809523,4.8156,5.130769230769231,7.225,5.92,4.873333333333334,4.30057142857143,7.786666666666666
2012,4.414,6.39,5.734285714285714,4.5844000000000005,4.93076923076923,6.949999999999999,5.81,4.443333333333333,4.118857142857142,7.741666666666666
2013,4.574,6.551666666666667,5.835238095238094,4.656000000000001,4.87,7.085000000000001,5.845,4.445,4.074285714285715,7.828888888888888
2014,4.640000000000001,6.663333333333333,5.878571428571428,4.6655999999999995,4.883076923076922,7.415,6.0075,4.4775,4.126285714285715,7.926666666666667
2015,4.456,6.53,5.76047619047619,4.6504,4.9023076923076925,7.345000000000001,6.0075,4.381666666666667,4.169714285714287,7.856111111111109
2016,4.578,6.523333333333333,5.7576190476190465,4.659200000000001,4.833846153846154,7.345000000000001,6.095,4.381666666666667,4.127428571428571,7.800000000000001
2017,4.696000000000001,6.6116666666666655,5.791428571428571,4.5976,4.855384615384614,7.24,6.047499999999999,4.336666666666667,4.054,7.839444444444445
2018,4.755999999999999,6.541666666666667,5.768095238095239,4.611999999999999,4.836153846153845,7.234999999999999,6.130000000000001,4.339166666666666,4.057714285714286,7.828333333333335
2019,4.768,6.548333333333333,5.780476190476192,4.615199999999999,4.86076923076923,7.234999999999999,6.1575,4.339166666666666,4.053142857142857,7.813333333333334
