year,Caucasus & Central Asia,East Asia,Eastern Europe,Latin America & the Caribbean,Middle East & North Africa,North America,Oceania,South Asia,Sub-Saharan Africa,Western Europe
2008,8.004,8.873333333333333,9.32857142857143,9.4408,6.961538461538463,9.899999999999999,9.3525,7.668333333333333,8.294857142857145,9.888333333333334
2009,7.254,8.876666666666667,9.384285714285717,9.333599999999999,6.956153846153847,9.899999999999999,9.3525,7.465833333333333,8.105714285714289,9.888333333333334
2010,7.8,8.876666666666667,9.391904761904764,9.4968,6.950000000000001,9.89,9.35,7.430833333333333,8.171714285714287,9.888333333333334
2011,7.8,8.876666666666667,9.395238095238096,9.453599999999998,6.986153846153848,9.879999999999999,9.35,7.546666666666667,8.206,9.888333333333334
2012,7.8,8.868333333333334,9.396190476190476,9.454799999999999,6.957692307692309,9.879999999999999,9.35,7.466666666666668,8.133714285714285,9.886666666666665
2013,7.772,8.853333333333333,9.465238095238096,9.4924,6.886923076923077,9.875,9.362499999999999,7.439166666666666,8.164571428571428,9.882777777777777
2014,7.736,8.818333333333333,9.448095238095236,9.492799999999999,6.767692307692308,9.875,9.36,7.413333333333333,8.126857142857142,9.878888888888888
2015,7.982000000000001,8.826666666666666,9.436190476190475,9.432,6.811538461538461,9.875,9.362499999999999,7.543333333333333,8.073428571428572,9.876111111111108
2016,8.408,8.826666666666666,9.48857142857143,9.232000000000001,6.590769230769231,9.875,9.315,7.5441666666666665,8.226857142857142,9.876111111111108
2017,8.437999999999999,8.806666666666665,9.472857142857142,9.255199999999999,6.566153846153847,9.795,9.69,7.508333333333332,8.101714285714284,9.87111111111111
2018,8.358,8.793333333333331,9.402857142857144,9.1672,6.534615384615386,9.795,9.6875,7.488333333333333,8.05028571428571,9.862777777777774
2019,8.364,8.776666666666666,9.392857142857142,9.1332,6.558461538461539,9.754999999999999,9.692499999999999,7.4325,8.115999999999998,9.854999999999997
