year,Caucasus & Central Asia,East Asia,Eastern Europe,Latin America & the Caribbean,Middle East & North Africa,North America,Oceania,South Asia,Sub-Saharan Africa,Western Europe
2008,7.398000000000001,7.303333333333334,7.133809523809524,6.829200000000001,6.769230769230769,8.705,8.395,6.5625,6.532857142857142,7.392222222222222
2009,7.283999999999999,7.44,7.095238095238095,6.8832,6.800769230769232,8.48,8.355,6.663333333333333,6.633714285714286,7.347777777777777
2010,7.324000000000001,7.61,7.276190476190475,6.852799999999998,6.846923076923077,8.555,8.3575,6.882499999999999,6.487142857142856,7.595555555555554
2011,7.418000000000001,7.586666666666669,7.407619047619049,6.8927999999999985,6.866923076923077,8.575,8.3925,6.911666666666666,6.460857142857145,7.78388888888889
2012,7.45,7.611666666666667,7.484761904761903,6.789199999999999,6.766153846153846,8.705,8.46,6.925833333333333,6.410285714285715,7.817777777777776
2013,7.458,7.581666666666667,7.4399999999999995,6.7984,6.756923076923077,8.795,8.235,7.023333333333333,6.445714285714287,7.8149999999999995
2014,7.534000000000001,7.586666666666666,7.571428571428574,6.692800000000001,6.747692307692309,8.745,8.4225,7.008333333333334,6.410285714285714,7.847777777777777
2015,7.4159999999999995,7.659999999999999,7.54,6.6259999999999994,6.593076923076922,8.780000000000001,8.395,7.004166666666666,6.453142857142856,7.949999999999999
2016,7.331999999999999,7.755,7.510952380952382,6.6052,6.594615384615384,8.809999999999999,8.405,7.079166666666666,6.528,7.946666666666668
2017,7.337999999999999,7.816666666666666,7.521904761904763,6.6612,6.296923076923077,8.934999999999999,8.525,6.970833333333334,6.428285714285716,8.029444444444444
2018,7.668000000000001,7.906666666666666,7.603809523809524,6.6512,6.550769230769232,8.76,8.495,7.158333333333335,6.614571428571429,7.973888888888889
2019,7.668000000000001,7.881666666666668,7.6538095238095245,6.701600000000002,6.6376923076923084,8.649999999999999,8.495000000000001,7.11,6.65,7.9766666666666675
